control,covered,test_count,tests
R15,yes,4,"tests/engine/case-workflows.test.ts: R15_loss_mitigation_full_path | tests/engine/case-workflows.test.ts: R15_appeal_requires_independent_reviewer | tests/engine/case-workflows.test.ts: R15_early_intervention_repeat_contacts | tests/engine/transfer-cases.test.ts: R15_delinquency_state_machine: day 36 live contact, day 45 written notice, referral after 120"
R16,yes,1,tests/engine/apply.test.ts: R16_receipt_date_credit: full payment on the due date applies to the cent with the receipt date as effective date
R17,yes,2,"tests/engine/statements.test.ts: R17_periodic_statement: 1026.41(d) content, partial-payment and delinquency blocks | tests/engine/statements.test.ts: R17_periodic_statement_contact_block: 1026.41(d)(6)-(7) contact, counseling, prepayment and rate-change items"
R18,yes,2,tests/engine/transfer-cases.test.ts: R18_ownership_notice: whole loan -> notice within 30 days; partial interest with unchanged notice party -> exempt | tests/engine/transfer-cases.test.ts: R18_ownership_notice_unchanged
R19,yes,1,tests/engine/apply.test.ts: R19_consumer_purpose: boarding refuses anything but consumer credit
R20,yes,1,"tests/loan-math.test.ts: R20_fha_late_charge T12_fixture_late_charge: 4% of P&I: $2,770.73 -> $110.83"
R21,yes,1,"tests/loan-math.test.ts: R21_fha_premiums T12_fixture_ufmip: re-bases a $450,000 note to base + 1.75% UFMIP"
R22,yes,1,tests/engine/tax-reconcile.test.ts: R22_bank_balance_authoritative: the bank total is the authoritative balance and the event chain verifies
R23,yes,1,"tests/engine/escrow-analysis.test.ts: R23_ca_interest: 2% simple interest on the daily balance, credited annually; none for Idaho"
R24,yes,1,tests/engine/boarding.test.ts: R24_loss_draft_separate: California loans get a loss-draft account; Idaho does not
R25,yes,1,tests/engine/boarding.test.ts: R25_idaho_calendar_gate: statutory dates and the unverified interest gate
R26,yes,1,tests/engine/boarding.test.ts: R26_license_gate: no boarding without current state authority and HUD approval
R27,yes,3,"tests/engine/security.test.ts: R27_no_operator_keys: the key module never writes seeds to disk and the drill disables the master only after a regular-key proof | tests/testnet/loan-year.test.ts: R27_multisig_and_R14_event_chain: one signature refused, two validate; event chain verified | tests/xrpl/keys-issuer.test.ts: R27_two_of_three_builder"
R28,yes,1,"tests/xrpl/payloads.test.ts: R28_no_pii_payloads S2_loan_record_handle: the NFToken URI carries only version, opaque id, hash and pointer"
R29,yes,1,"tests/engine/tax-reconcile.test.ts: R29_form_1098 T8_form_1098_boxes: box 1 equals posted interest, box 2 the Jan 1 principal, box 5 by rule, box 11 only in-year"
R30,yes,1,"tests/engine/tax-reconcile.test.ts: R30_1099int_threshold: $9.99 no, $10.00 yes"
R31,yes,1,tests/engine/boarding.test.ts: R31_no_participation_fields: a single legal owner and nothing investor-shaped
S2,yes,1,"tests/xrpl/payloads.test.ts: R28_no_pii_payloads S2_loan_record_handle: the NFToken URI carries only version, opaque id, hash and pointer"
S3,yes,1,"tests/engine/security.test.ts: S3_no_vault_lending_types: no vault, lending or participation transaction types remain in src/"
S5,yes,1,tests/xrpl/keys-issuer.test.ts: S5_noripple_repair_builder
S7,yes,2,"tests/engine/disburse.test.ts: S7 corrected bill after creation: increase -> adjustment escrow; decrease -> finish and refund | tests/xrpl/payloads.test.ts: S7 escrow build: allowlisted destination, CancelAfter after FinishAfter, positive cents"
S8,yes,1,"tests/servicing.test.ts: S8_mip_split_separate_from_hazard: splits the payment into P&I, tax impound, hazard impound and FHA MIP and balances to the cent"
S10,yes,1,"tests/xrpl/payloads.test.ts: T11_no_pii_in_memo S10_no_pii_on_ledger: memo is versioned, ≤ 256 bytes, and refuses PII keys"
S11,yes,10,tests/engine/settlement-journal.test.ts: S11_migration_applies | tests/engine/settlement-journal.test.ts: S11_journal_restart_idempotent | tests/engine/settlement-journal.test.ts: S11_prepared_blob_resubmitted_not_resigned_after_uncertain_outcome | tests/engine/settlement-journal.test.ts: S11_same_scope_different_tx_throws | tests/engine/settlement-journal.test.ts: S11_uncertain_outcome_throws_settlement_uncertain | tests/engine/settlement-journal.test.ts: S11_failed_engine_result_is_journaled_and_blocks_replay | tests/engine/settlement-journal.test.ts: S11_tenant_scope_isolates_journal_rows | tests/engine/settlement-journal.test.ts: S11_scope_validation | tests/engine/settlement-journal.test.ts: S11_in_memory_store_matches_postgres_semantics | tests/testnet/loan-year.test.ts: S11_every_leg_journaled: every settlement leg carries journal=validated and the restart replay signed nothing
T1,yes,1,tests/engine/apply.test.ts: T1_four_legs_equal_receipt: 360 periods conserve the receipt to the cent
T2,yes,1,"tests/engine/disburse.test.ts: T2_no_escrow_after_two_receipts: short balance -> advance first, then a fully funded escrow"
T3,yes,1,"tests/engine/escrow-analysis.test.ts: R03_cushion_cap T3_cushion_cap: never exceeds min(1/6 annual, state cap, contract cap) (property)"
T4,yes,1,tests/engine/escrow-analysis.test.ts: R07_surplus_options T4_surplus_boundary: $50.00 vs $49.99 and current vs delinquent
T5,yes,2,tests/engine/escrow-analysis.test.ts: R08_shortage_options T5_shortage_boundary: 30-day option only under one month; at least 12 months otherwise | tests/engine/escrow-analysis.test.ts: R09_deficiency_options T5_deficiency_boundary: 30 days or 2+ payments under one month; 2+ payments otherwise (not 12)
T6,yes,1,tests/engine/security.test.ts: T6_no_pii_in_payload_builders: ledger payload code never touches PII accessors
T7,yes,1,tests/xrpl/payloads.test.ts: T7_record_token: URI ≤ 256 bytes with the bundle sha256
T8,yes,1,"tests/engine/tax-reconcile.test.ts: R29_form_1098 T8_form_1098_boxes: box 1 equals posted interest, box 2 the Jan 1 principal, box 5 by rule, box 11 only in-year"
T9,yes,2,tests/testnet/loan-year.test.ts: T9_issuer_preflight: the controlled issuer allows trust-line locking | tests/xrpl/keys-issuer.test.ts: T9_issuer_identity_and_flag
T10,yes,2,tests/engine/evidence-pack.test.ts: T10_only | tests/testnet/loan-year.test.ts: T10_early_finish_refused: EscrowFinish before FinishAfter fails; finishes succeed after; cancel path works
T11,yes,1,"tests/xrpl/payloads.test.ts: T11_no_pii_in_memo S10_no_pii_on_ledger: memo is versioned, ≤ 256 bytes, and refuses PII keys"
T12,yes,2,"tests/loan-math.test.ts: R21_fha_premiums T12_fixture_ufmip: re-bases a $450,000 note to base + 1.75% UFMIP | tests/loan-math.test.ts: R20_fha_late_charge T12_fixture_late_charge: 4% of P&I: $2,770.73 -> $110.83"
T13,yes,4,"tests/engine/bank-receipts.test.ts: T13_bank_receipt_file_round_trip: parse, exact cents, serialise back byte for byte | tests/engine/bank-receipts.test.ts: T13_bank_receipt_exact_cents: dollars to cents never passes through floating point | tests/engine/bank-receipts.test.ts: T13_bank_receipt_contract_violations: header, columns, duplicates, dates, direction, loan scope | tests/engine/bank-receipts.test.ts: T13_bank_receipt_feeds_three_way_match: the parsed file is the bank side of R14"
T14,yes,3,"tests/engine/cost-model.test.ts: T14_cost_model_fixture_loan_year: fees are burned per transaction, reserves are parked per object | tests/engine/cost-model.test.ts: T14_cost_model_price_is_an_input: doubling the XRP price doubles dollars and leaves drops unchanged | tests/engine/cost-model.test.ts: T14_scale_note: linear in loans; batching across accounts collapses wall-clock time"
